Year;Sector;Pollutant;RepShare;CalcShare
2015;GROUP_Transport;25;0.00000;1.00000
2015;GROUP_Transport;26;0.00000;1.00000
2015;GROUP_Transport;27;0.00000;1.00000
2015;GROUP_Transport;28;0.00000;1.00000
2015;GROUP_Transport;29;0.00000;1.00000
2015;GROUP_Transport;30;;
2015;GROUP_Transport;31;;
2015;GROUP_Transport;37;0.00000;1.00000
2015;GROUP_Transport;38;0.00000;1.00000
2015;GROUP_Transport;40;0.00000;1.00000
2015;GROUP_Transport;43;0.00000;1.00000
2010;GROUP_Agriculture;1;0.00000;1.00000
2010;GROUP_Agriculture;3;0.00000;1.00000
2010;GROUP_Agriculture;5;0.00000;1.00000
2010;GROUP_Agriculture;7;0.00000;1.00000
2010;GROUP_Agriculture;8;0.00000;1.00000
2010;GROUP_Agriculture;12;0.00000;1.00000
2010;GROUP_Agriculture;13;0.00000;1.00000
2010;GROUP_Agriculture;14;0.00000;1.00000
2010;GROUP_Agriculture;15;0.00000;1.00000
2010;GROUP_Agriculture;16;0.00000;1.00000
2010;GROUP_Agriculture;17;0.00000;1.00000
2010;GROUP_Agriculture;18;0.00000;1.00000
2010;GROUP_Agriculture;19;0.00000;1.00000
2010;GROUP_Agriculture;22;0.00000;1.00000
2010;GROUP_Agriculture;25;0.00000;1.00000
2010;GROUP_Agriculture;27;0.00000;1.00000
2010;GROUP_Agriculture;28;0.00000;1.00000
2010;GROUP_Agriculture;29;0.00000;1.00000
2010;GROUP_Agriculture;37;0.00000;1.00000
2010;GROUP_Agriculture;38;0.00000;1.00000
2010;GROUP_Agriculture;43;0.00000;1.00000
2010;GROUP_OtherComb;1;0.00000;1.00000
2010;GROUP_OtherComb;3;0.00000;1.00000
2010;GROUP_OtherComb;4;0.00000;1.00000
2010;GROUP_OtherComb;5;0.00000;1.00000
2010;GROUP_OtherComb;6;0.00310;0.99690
2010;GROUP_OtherComb;7;0.00000;1.00000
2010;GROUP_OtherComb;8;0.00000;1.00000
2010;GROUP_OtherComb;10;0.00000;1.00000
2010;GROUP_OtherComb;11;0.00000;1.00000
2010;GROUP_OtherComb;12;0.00000;1.00000
